,artist,title,year,groundtruth,height,width
N03844,Sir William Rothenstein,Two Women,1895,O,965,768
N05850,George Romney,Tom Hayley as Robin Goodfellow,1789,P,756,635
N01516,Briton Riviere,Giants at Play,1882,O,838,1353
T11976,Ged Quinn,Cross in the Wilderness,2003,L,2668,1828
N04381,Sir Charles John Holmes,Whernside,1917,L,686,762
N02736,William Hogarth,"Benjamin Hoadly, Bishop of Winchester",1741,P,1273,1015
T01887,Harry Hall,John Barham Day with his Sons John and William on Newmarket Heath,1841,O,632,765
T06770,Robin Guthrie,Sermon on the Mount,1922,O,2450,1840
N05966,John Constable,Mrs James Andrew,1818,P,775,649
T00558,Bryan Wynter,Seedtime,1958,O,1422,1118
N03678,Francis Wheatley,A Family Group in a Landscape,1775,O,1016,1270
N00541,Joseph Mallord William Turner,Venice - Noon,1845,L,610,918
T01049,Allan Ramsay,"Alexander Boswell, Lord Auchinleck",1754,P,762,635
T11921,Alice Neel,Kenneth Dolittle,1931,P,660,608
T06549,Robert Medley,Summer Eclogue No. 1: Cyclists,1950,O,1295,1600
N02117,Alphonse Legros,John Gray,1883,P,641,457
T03414,Edward Reginald Frampton,Brittany: 1914,1920,O,768,926
T03030,"Unknown artist, Britain","Gertrude Sadler, Lady Aston",1620,P,2273,1334
T14803,Luc Tuymans,The Shore,2014,O,1945,3590
TW0535,Joseph Mallord William Turner,"Venice, from the Canale della Giudecca, Chiesa di S. Maria della Salute, &c.",1840,L,610,914
T01869,Sir William Rothenstein,Portrait of Sir John Rothenstein C.B.E.,1938,P,762,495
N01840,Sir Joshua Reynolds,Sketch for ‘The 4th Duke of Marlborough and his Family’,1777,O,552,508
T02392,Wolfgang Paalen,The Messenger,1941,O,2000,765
T01899,William Mulready,The Rattle,1808,O,375,340
N06080,Ambrose McEvoy,"Bessborough Street, Pimlico",1900,O,457,356
T02386,John Singleton Copley,Portrait of Mrs Gill,1770,P,1280,1022
N04618,Stephen Bone,Charles Aitken,1932,P,610,508
N06202,Jankel Adler,No Man’s Land,1943,O,860,1108
N03231,Henry Tonks,Portrait of the Artist,1909,P,980,770
N04806,George Spencer Watson,A Lady in Black,1922,P,1270,1022
N01964,Harold Speed,"The Alcantara, Toledo, by Moonlight",1894,O,635,914
T03114,Mario Sironi,Mountains,1928,L,819,1079
N05450,Samuel Scott,"A Morning, with a View of Cuckold’s Point",1750,L,521,959
N02657,John Constable,A Windmill near Brighton,1824,L,203,251
N06211,Robert Colquhoun,Woman with Leaping Cat,1945,P,767,610
T01902,Maxwell Ashby Armfield,Oh! Willo! Willo! Willo!,1902,P,445,289
N02066,Joseph Mallord William Turner,"The Arch of Constantine, Rome",1835,L,914,1219
T00523,Ian Stephenson,Polychromatic G,1961,O,1270,1270
N05090,Walter Richard Sickert,L’Américaine,1908,P,508,406
N05214,Geoffrey Rhoades,"Winter Afternoon, Chalk Farm",1935,L,832,1137
T05498,"Sir Cedric Morris, Bt",Peregrine Falcons,1942,O,620,700
T07320,Sylvia Melland,Still Life with an Open Window,1931,O,763,685
T04118,Wyndham Lewis,Nigel Tangye,1946,P,967,917
N01321,Cornelius Johnson,Cornelia Veth,1644,P,787,635
N05754,Jacques-Emile Blanche,Charles Conder,1904,P,1108,864
AR00031,Georg Baselitz,Folkdance Melancholia,1989,O,2510,2504
T04851,Marie-Louise Von Motesiczky,From Night into Day,1975,P,838,1166
N00540,Joseph Mallord William Turner,"Venice Quay, Ducal Palace",1844,O,622,927
TW0359,Joseph Mallord William Turner,"Schloss Rosenau, Seat of HRH Prince Albert of Coburg, near Coburg, Germany",1841,L,970,1248
T03881,Joseph Mallord William Turner,Hulks on the Tamar,1812,L,892,1202
N01986,Joseph Mallord William Turner,"Brighton Beach, with the Chain Pier in the Distance, from the West",1827,L,913,1219
T00720,Adrian Stokes,Still Life,1963,O,457,457
N06185,Philip Wilson Steer,The White Yacht,1912,O,613,920
T14193,Martin Ferdinand Quadal,Portrait of a Man playing a Flute,1777,P,767,688
T07602,Louisa Matthiasdottir,Still Life with Frying Pan and Red Cabbage,1979,O,1320,1524
T06693,John Lessore,Apollo and Daphne,1985,O,914,610
T03237,Gilbert Jackson,A Lady of the Grenville Family and her Son,1640,P,742,608
T00351,Thomas Hickey,A Girl Leaning against a Piano,1776,P,908,705
N05764,Duncan Grant,Lytton Strachey. Verso: Crime and Punishment,1909,P,533,660
N02928,Thomas Gainsborough,The Housemaid,1782,P,2349,1486
N01385,Augustus Leopold Egg,Beatrix Knighting Esmond,1857,O,869,1171
T06969,Richard Cosway,"Portrait of a Gentleman, his Wife and Sister, in the Character of Fortitude introducing Hope as the Companion to Distress (‘The Witts Family Group’)",1775,O,1180,1040
T07230,Stephen Bone,Stockholm in Winter,1928,L,1020,1270
N04688,Sir William Beechey,Thomas Law Hodges,1795,P,765,635
N04446,Joseph Mallord William Turner,"Venice, the Piazzetta with the Ceremony of the Doge Marrying the Sea",1835,L,914,1219
N05488,Joseph Mallord William Turner,Scene in Venice,1840,L,622,927
T01235,Samuel Scott,"A Sunset, with a View of Nine Elms",1750,L,515,959
T02370,John Nost Sartorius,The Earl of Darlington Fox-Hunting with the Raby Pack: Full Cry,1804,L,702,899
N05349,Sir William Rothenstein,James Stephens,1941,P,768,641
N03002,Glyn Warren Philpot,The Man in Black,1913,P,768,692
N01656,Thomas Hope McLachlan,Evening Quiet,1891,L,584,870
N01588,Andrew Carrick Gow,Cromwell at Dunbar,1886,O,1206,1511
T04925,Alan Gouk,Cretan Premonition,1985,O,1708,4381
T00027,Spencer Gore,North London Girl,1911,P,762,610
N01562,Frederick Goodall,The Ploughman and the Shepherdess: Time of the Evening Prayer,1897,L,1932,2448
N04832,Hilda Fearon,The Tea Party,1916,O,546,660
T12271,Fred Williams,"Dry Creek Bed, Werribee Gorge I",1977,O,1823,1522
N05485,Joseph Mallord William Turner,Seascape with a Yacht (?),1825,L,502,660
N02698,Joseph Mallord William Turner,Coast Scene with Fishermen and Boats,1806,L,857,1162
N01518,Briton Riviere,A Blockade Runner,1888,O,597,438
N04400,Sir William Orpen,Dame Madge Kendal,1927,P,1020,870
N00377,George Clint,Falstaff’s Assignation with Mrs Ford,1830,O,768,641
T04878,Jesse Dale Cast,Miss Beatrice M. Dale Cast,1950,P,562,406
T03338,David Bomberg,Lilian Painting David (Painting Lilian),1929,P,660,514
T00479,Trevor Bell,Overcast,1961,O,610,610
N04659,Joseph Mallord William Turner,Venetian Festival,1845,L,724,1133
T02376,Peter Tillemans,Foxhunting in Wooded Country,1720,L,1022,1172
T01207,Sir Stanley Spencer,Turk’s Boatyard Cookham,1931,O,635,765
T13333,Anwar Jalal Shemza,Chessmen One,1961,O,920,710
N03710,John Singer Sargent,"Edward, Son of Asher Wertheimer",1902,P,1632,1149
T00100,Wyndham Lewis,Mrs Schiff,1923,P,1257,1003
N02284,Thomas Gainsborough,The Bridge,1786,L,400,483
N02072,David Farquharson,Birnam Wood,1906,L,1676,2444
T00883,Martin Bloch,Afternoon in Bangor,1952,O,1270,914
T02352,Henry Thomas Alken,The Belvoir Hunt: The Meet,1830,O,451,648
N04434,Johan Zoffany,Stephen Rimbault,1764,P,889,711
TW0938,Joseph Mallord William Turner,Ostend,1844,L,929,1232
N02700,Joseph Mallord William Turner,Margate,1806,L,857,1162
T12356,George Spencer Watson,Hilda and Maggie,1911,P,1270,1448
T14807,Tomie Ohtake,Untitled (from the series Blind Paintings),1962,O,850,750
N04200,Ambrose McEvoy,Mrs Claude Johnson,1926,P,1016,768
T13199,Sir Herbert James Gunn,Portrait of Sir William Oliphant Hutchison,1926,P,2033,1159
N01593,Joseph Clark,Mother’s Darling,1884,P,508,400
N04196,Thomas Barker of Bath,"Landscape, near Bath",1798,L,815,1070
N05519,Joseph Mallord William Turner,"The Thames Glimpsed between Trees, possibly at Kew Bridge",1806,L,911,1216
N04651,Walter Richard Sickert,The Front at Hove (Turpe Senex Miles Turpe Senilis Amor),1930,O,635,762
T15036,Rosalind Nashashibi,In Vivian’s Garden,2016,O,604,904
N02262,John William Buxton Knight,Old December’s Bareness Everywhere,1908,L,915,1220
N03558,Spencer Gore,"From a Window in Cambrian Road, Richmond",1913,O,559,686
N01774,Henry William Banks Davis,Approaching Night,1899,L,559,914
N04750,Robert Bevan,Horse Sale at the Barbican,1912,O,787,1219
N05512,Attributed to Joseph Mallord William Turner,Tivoli and the Roman Campagna (after Wilson),1798,L,724,965
TW0874,Joseph Mallord William Turner,The Fountain of Indolence,1834,L,1065,1664
TW1314,Joseph Mallord William Turner,"Boats Carrying out Anchors and Cables to Dutch Men of War, in 1665",1804,O,1015,1305
L04015,Joan Semmel,Secret Spaces,1976,O,1772,1738
T03434,James Pollard,"Coursers Taking the Field at Hatfield Park, Hertfordshire, the Seat of the Marquess of Salisbury",1824,O,1042,1472
T00858,Algernon Newton,A Gleam of Sunlight,1966,L,457,610
L02408,Marlow Moss,"Untitled (White, Black, Blue and Yellow)",1954,O,707,556
T07289,Maria Lalic,History Painting 14 Greek. Massicot,1995,O,602,601
N02530,Cornelius Johnson,Portrait of an Unknown Lady,1646,P,794,641
T00908,Patrick George,Hickbush,1961,L,1060,1524
T00171,Ronald Ossory Dunlop,Myself with Cadger’s Pipe,1950,P,610,502
N02658,John Constable,A Bank on Hampstead Heath,1820,L,206,254
T00223,Walter Richard Sickert,Claude Phillip Martin,1935,P,1270,1016
N04929,James Bolivar Manson,Self-Portrait,1912,P,508,397
N01597,Robert Walker Macbeth,The Cast Shoe,1890,L,832,1372
N04913,Wyndham Lewis,Red Scene,1933,O,711,914
T00756,Ozias Humphry,"Elizabeth, Countess of Craven, Later Margravine of Anspach",1780,P,608,507
T00711,Patrick Heron,Purple Shape in Blue : 1964,1964,O,1320,1220
N03993,Neville Cain,John S. Sargent,1875,P,410,330
T00334,Eugène Berman,The Jug on the Window,1934,O,810,600
N05806,George Frederic Watts,Mrs George Augustus Frederick Cavendish-Bentinck and her Children,1860,P,1270,1016
T01726,Graham Sutherland OM,Form over River,1971,O,1797,1737
N05618,Philip Wilson Steer,What of the War?,1881,P,915,677
N04678,Sir Stanley Spencer,"Terry’s Lane, Cookham",1932,L,508,762
N05296,Walter Richard Sickert,Two Women on a Sofa - Le Tose,1903,P,457,533
T03854,Charles Reuben Ryley,Oscar Bringing Back Annir’s Daughter,1785,O,314,412
A00841,Thomas Matthews Rooke,"Naomi, Ruth and Obed",1876,O,660,394
N01628,Ernest Parton,The Waning of the Year,1879,L,1816,1308
T00884,Sir Peter Lely,Boy Playing a Jew’s Harp,1648,P,1410,1029
T07114,Nathaniel Hone,"Portrait of a Lady in a Blue Dress, possibly Mrs Mary Barnardiston",1779,P,762,635
N02134,Henri Fantin-Latour,A Plate of Apples,1861,O,210,264
T03264,David Bomberg,San Justo and Toledo Hills,1929,L,333,438
TW0294,Joseph Mallord William Turner,Plompton Rocks,1798,L,1220,1375
T07727,Charles Spencelayh,No Watermark,1933,P,407,311
T00221,Walter Richard Sickert,"Sir Alec Martin, KBE",1935,P,1397,1079
T01096,William Scott,Seated Nude,1939,O,507,400
N01837,Sir Henry Raeburn,Mrs H.W. Lauzun,1796,P,927,798
N00417,Henry William Pickersgill,A Syrian Maid,1837,P,914,714
T12549,Ernst Wilhelm Nay,White Spring,1963,O,1410,2010
T03348,Bernard Meninsky,Sleeping Woman in a Landscape,1945,P,613,1070
T05466,Sir Thomas Lawrence,"Philadelphia Hannah, 1st Viscountess Cremorne",1789,P,2403,1480
N01673,John Henry Yeend King,Milking Time,1898,L,1219,1840
N05582,John Hoppner,Mrs Williams,1790,P,756,629
T00146,Anthony Gross,"Grey Landscape, Le Boulvé",1955,L,650,922
N06179,Othon Friesz,The Castle of Falaise (Evening),1904,O,730,600
T00376,Prunella Clough,Cooling Tower II,1958,O,968,917
T00284,The Hon. Dorothy Brett,Ceremonial Indian Dance: The Matachinas,1948,O,1388,1135
N00385,James Ward,View in Tabley Park,1813,L,940,1359
N03850,Sir William Rothenstein,Jan Toorop,1894,P,622,508
N01924,Sir Joshua Reynolds,Mrs Hartley as a Nymph with a Young Bacchus,1773,P,889,686
N00416,Henry William Pickersgill,Robert Vernon,1846,P,1422,1118
T14996,David Oxtoby,Mingus Deep Blues,1963,P,1223,1224
T03648,William Evelyn Osborn,"Royal Avenue, Chelsea",1900,O,505,610
T00177,"Sir John Everett Millais, Bt",A Spanish Gentleman (after John Jackson’s ‘Shylock’),1843,P,533,432
N02999,Ambrose McEvoy,"W.A. Jowitt, later Earl Jowitt",1912,P,1283,1022
N01546,John Linnell,"Reapers, Noonday Rest",1865,L,940,1397
N01655,Charles Parsons Knight,The Kyles of Bute,1893,L,622,1105
T00526,Stephen Greene,The Return,1950,O,1318,838
N05571,Marie Cazin,Evening,1884,O,327,460
T06638,Avigdor Arikha,Jerusalem Seen from the South,1980,L,502,657
N00467,Joseph Mallord William Turner,"Sketch of a Bank, with Gipsies",1809,L,613,838
TW0285,Joseph Mallord William Turner,Modern Italy - the Pifferari,1838,L,925,1230
N03557,Joseph Mallord William Turner,Landscape with Lake and Fallen Tree,1800,L,391,606
TW1206,Joseph Mallord William Turner,Fishing Boats Entering Calais Harbour,1803,O,737,984
T03581,Adrian Stokes,Still Life: Last Eleven (No. 11),1972,O,356,457
N00314,Samuel Scott,A View of Westminster Bridge and Parts Adjacent,1758,L,298,540
N04188,Sir Walter Russell,The Amber Beads,1926,P,749,622
N05788,George Romney,Lady Altamont,1788,P,964,831
N05949,Ceri Richards,"Cold Light, Deep Shadow",1950,O,914,1168
T03965,Jacob Kramer,Dorothy Parker,1928,P,762,641
N04207,Arthur Boyd Houghton,Volunteers,1861,O,305,394
T00921,Philip James De Loutherbourg,Travellers Attacked by Banditti,1781,L,673,1051
T07626,John Aldridge,Head and Fruit,1930,O,660,813
T12269,Fred Williams,Burnt Landscape II (Bushfire Series),1970,O,1748,1368
TW1776,Joseph Mallord William Turner,Going to the Ball (San Martino),1846,L,610,914
TW0527,Joseph Mallord William Turner,"Admiral Van Tromp’s Barge at the Entrance of the Texel, 1645",1831,L,900,1220
N04489,George Romney,Dr John Matthews,1786,P,1460,1213
N03313,Robert Noble,"Dirleton Church, East Lothian",1912,L,305,608
T06875,Myles Murphy,Figure with Yellow Foreground,1974,O,1520,2453
T01117,Howard Hodgkin,Mrs Nicholas Monro,1966,O,1270,1219
T06456,Sir Francis Grant,Portrait of a Lady (? Mrs Edmund Peel),1856,P,2235,1334
N05687,Sir William Coldstream,Havildar Ajmer Singh,1943,P,791,565
T04857,Frederick Brill,"Quarry Face, Worth Matravers",1956,O,915,1220
T01883,Thomas Beach,Portrait of a Gentleman in a Green Robe,1773,P,759,641
T00923,Norman Adams,The Whole (The Dream I),1964,O,864,914
N02067,Joseph Mallord William Turner,Tivoli: Tobias and the Angel,1835,L,905,1210
T04123,Adrian Stokes,"Landscape, West Penwith Moor",1937,L,609,508
N01567,Lady Dorothy Stanley,His First Offence,1896,P,629,343
T01069,Samuel Palmer,"The Waterfalls, Pistil Mawddach, North Wales",1835,L,260,406
N04476,Ambrose McEvoy,Michael McEvoy,1919,P,762,635
N00613,Charles Robert Leslie,Uncle Toby and the Widow Wadman,1842,P,838,584
T00199,William Etty,Britomart Redeems Faire Amoret,1833,O,908,660
N05110,Anthony Devas,Mrs Wilson,1939,P,610,508
T11909,René Daniëls,Mexican,1977,O,901,703
N05361,John Crome,Yarmouth Harbour - Evening,1817,L,406,660
N02645,John Crome,Moonrise on the Yare (?),1811,L,711,1111
N04896,William Carter,The Refectory Table,1936,O,635,762
N05104,Frederick Brown,The Ivy Arch,1933,O,457,610
T03955,Paule Vézelay,Forms on Grey,1935,O,1299,971
T00034,Julian Trevelyan,Oxen,1955,O,762,1016
N00320,Thomas Stothard,Diana and her Nymphs Bathing,1816,O,508,610
N03152,Charles Shannon,The Lady with the Amethyst,1915,P,610,597
N03323,David Muirhead,Battersea Reach,1917,L,711,921
T00159,John Minton,"Portuguese Cannon, Mazagan, Morocco",1953,O,1524,1143
N04887,Harrington Mann,The Fairy Tale,1902,O,1022,1416
N05778,Donald Maclaren,D.S. MacColl,1906,P,536,340
N01547,John Linnell,Contemplation,1864,L,718,997
N01798,Charles Robert Leslie,‘Slender Courting Anne Page’,1850,O,381,483
N00419,Frederick Richard Lee,"Sea Coast, Sunrise",1834,L,857,1092
N00785,Sir Thomas Lawrence,"Mrs Siddons, ? as Mrs Haller in ‘The Stranger’",1796,P,762,635
T00354,Josef Herman,The Pit Pony,1958,O,1118,1854
T14247,Meredith Frampton,Portrait of Lady Frampton,1918,P,616,451
N00398,Sir Charles Lock Eastlake,"Haidée, a Greek Girl",1827,P,635,508
N00316,Philip James De Loutherbourg,"Lake Scene, Evening",1792,L,425,603
N00302,Richard Wilson,Hadrian’s Villa,1765,L,356,254
N05508,Joseph Mallord William Turner,Studies for ‘Dawn of Christianity’,1841,O,1337,651
TW1510,Joseph Mallord William Turner,"Landscape, with Woman with Tambourine",1845,L,885,1180
N05475,Joseph Mallord William Turner,A River Seen from a Hill,1840,L,787,794
N05798,Sir Joshua Reynolds,Francis Beckford,1755,P,1283,1016
N06037,Edouard Pignon,The Miner,1949,P,921,730
T01758,Kenneth Martin,Composition,1949,O,508,410
N03468,James Dickson Innes,"South of France, Bozouls, near Rodez",1908,L,502,648
T03219,Peter Greenham,Life Class,1979,O,1219,2146
N06143,Duncan Grant,Still Life with Carrots,1921,O,508,686
T00302,Antoni Clavé,Child with a Water-Melon,1947,P,549,457
T00282,Robert Bevan,Haze over the Valley,1913,L,432,533
N05264,Benjamin West,"Sir Thomas Beauchamp-Proctor, Bt",1777,P,1264,1003
T14867,Marie-Louise Von Motesiczky,Portrait of a Russian Student,1927,P,825,540
TW1051,Joseph Mallord William Turner,"The Trout Stream (‘Trout Fishing in the Dee, Corwen Bridge and Cottage’)",1809,L,915,1220
N01623,Adrian Stokes,Uplands and Sky,1886,L,1492,2089
N04800,Sir Stanley Spencer,Turkeys,1925,O,508,762
N05407,Sir William Rothenstein,Miss Edith Lockyer Williams,1893,P,1232,597
N01604,Henry Moore,Catspaws off the Land,1885,L,1250,1706
N03688,Sir John Lavery,"The Golf Course, North Berwick",1922,L,635,762
N01224,Thomas Hudson,"Samuel Scott, the Marine Painter",1731,P,1220,978
T06656,Peter Greenham,Lady Bonham Carter,1978,P,914,711
T01886,Charles Gill,The Lethbridge Children,1785,P,711,902
N02638,Thomas Gainsborough,Miss Elizabeth Singleton,1769,P,349,298
N05069,André Dunoyer de Segonzac,The Farm on the Estate,1923,L,600,810
N01608,Henry William Banks Davis,Returning to the Fold,1880,L,692,1225
N05498,Joseph Mallord William Turner,Reclining Venus,1828,O,1753,2489
N05480,Joseph Mallord William Turner,First Sketch for ‘The Battle of Trafalgar’,1823,O,902,1213
N06150,Sir Stanley Spencer,"Tree and Chicken Coops, Wangford",1925,L,457,762
N00368,Sir Martin Archer Shee,Thomas Morton Esq.,1835,P,762,635
T01550,Isaac Rosenberg,Self-Portrait,1911,P,495,387
T02347,William Roberts,Skipping (The Gutter),1934,O,1445,705
N05372,William Roberts,Self-Portrait Wearing a Cap,1931,P,559,359
T07955,Ben Nicholson OM,1922 (bread),1922,O,685,756
N05292,Augustus John OM,"Head of Romilly, the Artist’s Son",1924,P,457,381
N05259,Augustus John OM,An Old Lady,1898,P,686,558
N03907,Arthur Boyd Houghton,Ramsgate Sands,1861,O,241,298
N01598,James Clarke Hook,The Stream,1885,L,921,1511
T03429,Charles Cooper Henderson,Mail Coach in a Snowstorm,1835,O,454,765
N01603,Edwin Hayes,"Sunset at Sea: From Harlyn Bay, Cornwall",1894,L,1012,1272
N06354,William Etty,"The Coral Finder: Venus and her Youthful Satellites, replica",1820,O,744,986
N03316,John Downman,Sir Ralph Abercromby (?) and Companion,1795,P,762,635
T01403,Thomas Daniell,"Sher Shah’s Mausoleum, Sasaram",1810,L,972,1359
N05965,John Constable,The Revd Dr James Andrew,1818,P,775,645
N03580,Jacques-Emile Blanche,Thomas Hardy,1906,P,918,730
N01659,Thomas Whitcombe,The Battle of Camperdown,1798,L,1219,1829
N02697,Joseph Mallord William Turner,Caversham Bridge with Cattle in the Water,1806,O,854,1158
T07092,Peter John van Reysschoot,A Jacobite Group in St James Park,1735,O,458,553
N03880,Sir Henry Raeburn,The 1st Viscount Melville,1805,P,749,629
T00820,Roderic O’Conor,Red Roofs,1894,L,318,400
N05101,Jean Marchand,Landscape at Vence,1927,L,498,613
N03170,Sir Charles John Holmes,The Red Ruin,1907,L,457,812
T00399,Anthony Fry,"Dance, Blue and Yellow",1960,O,762,1010
N00444,Augustus Leopold Egg,Scene from ‘The Devil upon Two Sticks’,1844,O,864,1118
N05986,Russell Drysdale,War Memorial,1950,O,660,1016
T12327,Richard Cook,"Lelant, November 1998",1998,O,1527,1979
N05621,Benjamin West,Sketch for ‘The Ascension’,1782,O,1264,711
A00909,Joseph Mallord William Turner,"The Death of Actaeon, with a Distant View of Montjovet, Val d’Aosta",1837,L,1492,1111
T03878,Joseph Mallord William Turner,"Tabley, Cheshire, the Seat of Sir J.F. Leicester, Bart.: Calm Morning",1809,L,910,1215
N04565,Henry Tonks,Summer,1908,O,940,940
T01217,Graham Sutherland OM,Hydrant II,1954,O,1118,905
T14280,Sylvia Sleigh,The Bride (Lawrence Alloway),1949,P,610,508
T00259,Walter Richard Sickert,The Servant of Abraham,1929,P,610,508
N01537,Erskine Nicol,Wayside Prayer,1852,O,387,645
N05039,Wyndham Lewis,La Suerte,1938,P,610,457
N05032,Simon Levy,The Musician,1925,P,1213,857
N03192,Henry Lamb,Head of an Irish Girl,1912,P,508,406
N03581,Augustus John OM,The Orange Jacket,1916,P,1022,768
N04406,Sir Charles Holroyd,Death of Torrigiano,1886,O,935,1211
T00052,Francis Hayman,Thomas Nuthall and his Friend Hambleton Custance,1748,O,710,915
T01107,Sir William Coldstream,"Casualty Reception Station, Capua",1944,O,730,927
N06015,Simon Bussy,Lady Ottoline Morrell,1920,P,308,290
N01539,George Henry Boughton,Weeding the Pavement,1882,L,1345,1955
N01594,Charles William Wyllie,Digging for Bait,1877,L,660,1270
T06900,Karl Weschke,Feeding Dog,1976,O,1977,1523
N06006,Dame Ethel Walker,Self-Portrait,1930,P,635,765
N03384,Joseph Mallord William Turner,Rouen: A View from the Left Bank in the Faubourg St-Sever,1827,L,603,987
N00731,Rev. John Thomson of Duddingston,"Loch-an-Eilean, Rothiemurchus, Inverness-shire",1835,L,857,1327
N00367,Sir Martin Archer Shee,A Young Bacchus,1824,P,705,905
N03825,Sir James Jebusa Shannon,Phil May,1902,P,1333,921
N03724,George Romney,Lady Emilia Kerr,1779,P,743,616
T05837,Rita Donagh,Long Meadow,1982,O,1524,1524
N00305,Sir Joshua Reynolds,Sir Abraham Hume,1783,P,698,552
T00493,Henry Pether,"Greenwich Reach, Moonlight",1854,O,597,889
N00136,Sir Thomas Lawrence,Miss Laura Dorothea Ross (Mrs Francis Robertson),1798,P,2397,1473
N05801,James Latham,The Rt Hon. Sir Capel Molyneux,1740,P,1346,1080
T07121,William Hogarth,"Portrait of George Osborne, later John Ranby Jnr",1748,P,630,565
N05099,Spencer Gore,Mornington Crescent,1911,L,635,762
T01092,Roy De Maistre,Marriage,1936,O,1524,1143
N01619,James Aumonier,Sheep-Washing in Sussex,1889,L,959,1657
N01913,George Frederic Watts,A Story from Boccaccio,1844,O,3658,8915
N04859,Ernst Van Leyden,Girl with Clasped Hands,1931,P,727,603
N03212,Sir William Quiller Orchardson,Charles Moxon,1875,P,1168,838
N01142,Cecil Gordon Lawson,The August Moon,1880,L,1689,3045
N01404,John Jackson,James Northcote,1813,P,1321,965
T00726,Thomas Gainsborough,Mrs Susanna Gardiner,1780,P,756,629
N01575,Sir Hubert Von Herkomer,Found,1884,L,1372,2305
N03388,Joseph Mallord William Turner,"Tivoli, the Cascatelle",1827,L,607,777
TW1207,Joseph Mallord William Turner,Harbour of Dieppe (Changement de Domicile),1825,O,1737,2254
N02988,Joseph Mallord William Turner,Grenoble Seen from the River Drac with Mont Blanc in the Distance,1802,L,362,641
T00202,Samuel Scott,Admiral Anson’s Action off Cape Finisterre 1747,1749,L,1645,2970
N01906,George Romney,Jacob Morland of Capplethwaite,1763,P,746,629
T00802,Ceri Richards,La Cathédrale Engloutie (Arabesque 3),1961,O,1524,1524
N05354,Ceri Richards,Blossoms,1940,O,508,610
N04960,Sir William Llewellyn,Sailing at Blakeney,1938,L,635,762
N00349,Henry Howard,The Florentine Girl (‘The Artist’s Daughter’),1827,P,965,610
N05306,Charles Ginner,Hartland Point from Boscastle,1941,L,584,857
T00642,Thomas Gainsborough,An Officer of the 16th Light Dragoons,1765,P,737,597
N01963,Charles Wellington Furse,The Return from the Ride,1902,P,2159,2775
N03837,Charles Conder,A Summer Afternoon: The Green Apple,1894,P,630,759
T02093,Prunella Clough,By the Canal,1976,O,1829,1422
T12867,Sir George Clausen,The Farmer’s Boy,1895,O,755,548
N01306,Thomas Barker of Bath,Landscape with Figures and Sheep,1815,L,813,1130
TW1210,Joseph Mallord William Turner,"Van Goyen, Looking Out for a Subject",1833,L,918,1229
N02692,Joseph Mallord William Turner,"Trees beside the River, with Bridge in the Middle Distance",1806,L,879,1206
TW1330,Joseph Mallord William Turner,The Banks of the Loire [formerly ‘A View on the Rhone (?)’],1829,L,710,532
N05506,Joseph Mallord William Turner,Southern Landscape with an Aqueduct and Waterfall,1828,L,1502,2492
N01875,Joseph Mallord William Turner,Landscape: Christ and the Woman of Samaria,1825,L,1473,2388
N05540,Joseph Mallord William Turner,Italian Landscape with a Tower,1825,L,584,762
N04463,Philip Wilson Steer,Stroud: An Upland Landscape,1902,L,514,692
N05345,Claude Rogers,Mrs Richard Chilver,1937,P,908,603
T06678,Winifred Nicholson,The Hunter’s Moon,1955,O,1118,1372
T07036,Stephen McKenna,Large Studio at Castiglion,1993,O,1202,1601
T13272,Marwan (Marwan Kassab Bachi),"Sisyphus, The Wall",2008,O,1950,1950
T04110,George Lambert,Moorland Landscape with Rainstorm,1751,L,303,423
N02252,James Clarke Hook,Wreckage from the Fruiter,1889,L,921,1556
N05368,Ivon Hitchens,View from Terrace: Ashdown Forest,1938,O,813,4305
N00678,Thomas Gainsborough,Abel Moysey,1764,P,578,457
N04461,Reginald G Eves,Thomas Hardy,1924,P,762,635
T00325,Pierre Dimitrienko,The Petrified Forest,1956,O,1302,1619
N01599,George Vicat Cole,The Pool of London,1888,O,1950,3055
T00115,Charles Brooking,A British Man of War Firing a Salute,1750,O,1022,1480
T07695,Leon Underwood,The Ember (Italian Immigrant),1926,P,1525,1014
N03952,Annie Louisa Swynnerton,New Risen Hope,1904,P,570,519
N03012,John Singer Sargent,Professor Ingram Bywater,1901,P,1473,972
N03569,Sir Walter Russell,Mr Minney,1920,P,1276,1022
N01497,George Morland,Rabbiting,1792,L,864,1168
N06207,Abraham Mintchine,Portrait of the Artist as a Harlequin,1931,P,730,502
T13580,Simon Ling,Untitled,2008,O,1220,917
N04965,A. Gosset James,Winter on the Windrush,1938,L,635,1022
N01514,James Clarke Hook,The Seaweed Raker,1889,L,1033,1540
T01205,Ivon Hitchens,"October Painting, Yellow and Blue",1963,O,622,1384
T07650,Michael Gross,Self Portrait,1996,P,2000,1160
N03839,Spencer Gore,Houghton Place,1912,O,515,614
N01044,Thomas Gainsborough,"The Rev. Sir Henry Bate-Dudley, Bart",1780,P,724,578
T13787,Hideko Fukushima,Arc 8,1963,O,965,965
T00619,Max Ernst,Moon in a Bottle,1955,O,600,813
T11860,Ken Currie,Scottish Mercenaries,1987,O,2740,2130
N04411,Charles Conder,Swanage Bay,1901,L,457,610
N00383,Henry Wyatt,Vigilance,1835,P,349,298
N05497,Joseph Mallord William Turner,The Rest on the Flight into Egypt,1828,O,1505,1118
